Feature,Importance
wavelet-HHL_glrlm_RunEntropy,0.001094960108088
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0010903999494035
logarithm_glcm_Id,0.001086609912526
original_gldm_DependenceVariance,0.0010830390963367
original_ngtdm_Coarseness,0.0010821521620483
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0010816817297648
wavelet-LLL_firstorder_Median,0.0010782644126723
wavelet-LLH_firstorder_Maximum,0.0010778609072214
log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.0010761841820181
squareroot_glszm_SmallAreaLowGrayLevelEmphasis,0.0010732118587289
lbp-2D_glszm_ZoneVariance,0.0010707418143859
log-sigma-2-0-mm-3D_firstorder_Entropy,0.0010700599401429
gradient_glszm_LargeAreaLowGrayLevelEmphasis,0.0010662006269979
wavelet-LLL_firstorder_Mean,0.0010638197034122
gradient_glrlm_RunLengthNonUniformityNormalized,0.0010615870029953
log-sigma-5-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0010594606350804
original_firstorder_Energy,0.0010578375647237
wavelet-LLL_glcm_JointEntropy,0.0010565800737321
original_glrlm_GrayLevelNonUniformityNormalized,0.0010564118552328
wavelet-LLH_glrlm_ShortRunEmphasis,0.0010558350159412
lbp-3D-k_glcm_Id,0.0010518750353232
lbp-3D-k_glrlm_LongRunEmphasis,0.0010494869516703
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.001049288052763
wavelet-LHH_glcm_MaximumProbability,0.0010467289591542
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.0010464123161776
wavelet-HLL_glcm_SumSquares,0.001042373998274
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.0010409063932256
wavelet-HHL_glrlm_RunPercentage,0.0010401811831092
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.0010396250684517
wavelet-LHL_glcm_JointAverage,0.001034949498992
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.001027471009399
log-sigma-5-0-mm-3D_glszm_ZonePercentage,0.0010271424135593
log-sigma-2-0-mm-3D_glcm_SumSquares,0.0010250962416809
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.0010239745820554
gradient_firstorder_Maximum,0.0010235893954718
lbp-3D-m1_glszm_LargeAreaLowGrayLevelEmphasis,0.0010227984537909
gradient_glszm_ZoneVariance,0.0010226150991349
wavelet-LHL_glszm_ZonePercentage,0.0010193072275141
wavelet-HHL_firstorder_Skewness,0.0010166198501596
square_glszm_GrayLevelNonUniformityNormalized,0.0010136677481346
lbp-3D-k_glcm_SumAverage,0.0010123996511196
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.0010106397119639
wavelet-HLL_gldm_DependenceVariance,0.0010099360301994
log-sigma-2-0-mm-3D_glcm_SumAverage,0.0010082388522503
logarithm_gldm_LowGrayLevelEmphasis,0.0010028981829594
